city,year,month,station,溫度
高雄市,2009,10,大寮,26.86
高雄市,2009,10,小港,27.11
臺北市,2009,10,中山,25.04
桃園市,2009,10,中壢,23.7
高雄市,2009,10,仁武,27.21
雲林縣,2009,10,斗六,26.22
宜蘭縣,2009,10,冬山,23.72
臺北市,2009,10,古亭,24.72
高雄市,2009,10,左營,26.7
桃園市,2009,10,平鎮,24.05
新北市,2009,10,永和,24.54
臺南市,2009,10,安南,25.87
嘉義縣,2009,10,朴子,26.05
新北市,2009,10,汐止,24.01
南投縣,2009,10,竹山,24.94
新竹縣,2009,10,竹東,24.53
臺中市,2009,10,西屯,25.13
臺中市,2009,10,沙鹿,24.98
宜蘭縣,2009,10,宜蘭,23.86
臺中市,2009,10,忠明,26.3
新北市,2009,10,林口,22.96
高雄市,2009,10,林園,27.33
新北市,2009,10,板橋,24.64
臺北市,2009,10,松山,24.97
花蓮縣,2009,10,花蓮,25.58
高雄市,2009,10,前金,26.34
高雄市,2009,10,前鎮,27.74
南投縣,2009,10,南投,25.72
屏東縣,2009,10,屏東,27.21
屏東縣,2009,10,恆春,26.36
高雄市,2009,10,美濃,27.05
苗栗縣,2009,10,苗栗,25.24
南投縣,2009,10,埔里,25.39
桃園市,2009,10,桃園,24.38
基隆市,2009,10,基隆,24.05
雲林縣,2009,10,崙背,25.18
高雄市,2009,10,復興,27.14
新竹縣,2009,10,湖口,24.37
臺南市,2009,10,善化,25.7
新北市,2009,10,菜寮,24.95
臺北市,2009,10,陽明,17.11
新竹市,2009,10,新竹,25.38
新北市,2009,10,新店,24.13
新北市,2009,10,新莊,24.02
嘉義縣,2009,10,新港,25.16
臺南市,2009,10,新營,26.25
高雄市,2009,10,楠梓,26.05
新北市,2009,10,萬里,23.93
臺北市,2009,10,萬華,24.32
嘉義市,2009,10,嘉義,26.1
彰化縣,2009,10,彰化,25.65
雲林縣,2009,10,臺西,25.41
臺東縣,2009,10,臺東,26.67
臺南市,2009,10,臺南,26.45
高雄市,2009,10,鳳山,26.83
屏東縣,2009,10,潮州,26.65
彰化縣,2009,10,線西,25.65
高雄市,2009,10,橋頭,26.58
苗栗縣,2009,10,頭份,24.73
桃園市,2009,10,龍潭,22.63
臺中市,2009,10,豐原,25.29
臺東縣,2009,10,關山,24.61
桃園市,2009,10,觀音,24.68
彰化縣,2009,11,二林,22.08
新北市,2009,11,三重,21.93
苗栗縣,2009,11,三義,18.48
新北市,2009,11,土城,22.01
臺北市,2009,11,士林,21.9
臺中市,2009,11,大里,22.99
桃園市,2009,11,大園,21.65
高雄市,2009,11,大寮,24.05
高雄市,2009,11,小港,24.16
臺北市,2009,11,中山,22.3
桃園市,2009,11,中壢,20.6
高雄市,2009,11,仁武,24.13
雲林縣,2009,11,斗六,22.64
宜蘭縣,2009,11,冬山,21.19
臺北市,2009,11,古亭,21.95
高雄市,2009,11,左營,23.52
桃園市,2009,11,平鎮,20.88
新北市,2009,11,永和,21.97
臺南市,2009,11,安南,22.5
嘉義縣,2009,11,朴子,22.82
新北市,2009,11,汐止,21.39
南投縣,2009,11,竹山,21.44
新竹縣,2009,11,竹東,21.3
臺中市,2009,11,西屯,21.65
臺中市,2009,11,沙鹿,21.48
宜蘭縣,2009,11,宜蘭,21.26
臺中市,2009,11,忠明,22.48
新北市,2009,11,林口,19.9
高雄市,2009,11,林園,24.54
新北市,2009,11,板橋,21.84
臺北市,2009,11,松山,22.01
花蓮縣,2009,11,花蓮,23.09
高雄市,2009,11,前金,23.35
高雄市,2009,11,前鎮,24.74
南投縣,2009,11,南投,22.14
屏東縣,2009,11,屏東,24.34
屏東縣,2009,11,恆春,24.51
高雄市,2009,11,美濃,24.32
苗栗縣,2009,11,苗栗,21.45
南投縣,2009,11,埔里,21.88
桃園市,2009,11,桃園,20.91
基隆市,2009,11,基隆,21.28
雲林縣,2009,11,崙背,21.87
高雄市,2009,11,復興,24.1
新竹縣,2009,11,湖口,20.82
臺南市,2009,11,善化,22.52
新北市,2009,11,菜寮,22.07
臺北市,2009,11,陽明,14.43
新竹市,2009,11,新竹,21.73
新北市,2009,11,新店,21.3
新北市,2009,11,新莊,21.19
嘉義縣,2009,11,新港,21.69
臺南市,2009,11,新營,23.08
高雄市,2009,11,楠梓,22.9
新北市,2009,11,萬里,21.16
臺北市,2009,11,萬華,21.5
嘉義市,2009,11,嘉義,22.7
彰化縣,2009,11,彰化,21.89
雲林縣,2009,11,臺西,22.23
臺東縣,2009,11,臺東,24.12
臺南市,2009,11,臺南,23.27
高雄市,2009,11,鳳山,23.58
屏東縣,2009,11,潮州,23.99
彰化縣,2009,11,線西,22.17
高雄市,2009,11,橋頭,23.43
苗栗縣,2009,11,頭份,20.97
桃園市,2009,11,龍潭,19.94
臺中市,2009,11,豐原,21.39
臺東縣,2009,11,關山,22.41
桃園市,2009,11,觀音,21.31
彰化縣,2009,12,二林,17.68
新北市,2009,12,三重,17.27
苗栗縣,2009,12,三義,14.36
新北市,2009,12,土城,17.61
臺北市,2009,12,士林,17.28
臺中市,2009,12,大里,18.28
桃園市,2009,12,大園,17.36
高雄市,2009,12,大寮,20.28
高雄市,2009,12,小港,20.48
臺北市,2009,12,中山,17.89
桃園市,2009,12,中壢,16.37
高雄市,2009,12,仁武,20.25
雲林縣,2009,12,斗六,18.39
宜蘭縣,2009,12,冬山,17.19
臺北市,2009,12,古亭,17.63
高雄市,2009,12,左營,19.52
桃園市,2009,12,平鎮,16.57
新北市,2009,12,永和,17.48
臺南市,2009,12,安南,17.89
嘉義縣,2009,12,朴子,18.55
新北市,2009,12,汐止,17.14
南投縣,2009,12,竹山,17.27
新竹縣,2009,12,竹東,16.71
臺中市,2009,12,西屯,17.5
臺中市,2009,12,沙鹿,16.68
宜蘭縣,2009,12,宜蘭,17.14
臺中市,2009,12,忠明,18.09
新北市,2009,12,林口,15.49
高雄市,2009,12,林園,20.97
新北市,2009,12,板橋,17.4
臺北市,2009,12,松山,17.41
花蓮縣,2009,12,花蓮,19.19
高雄市,2009,12,前金,19.38
高雄市,2009,12,前鎮,20.96
南投縣,2009,12,南投,17.73
屏東縣,2009,12,屏東,20.52
屏東縣,2009,12,恆春,21.29
高雄市,2009,12,美濃,20.53
苗栗縣,2009,12,苗栗,17
南投縣,2009,12,埔里,17.61
桃園市,2009,12,桃園,16.38
基隆市,2009,12,基隆,17.12
雲林縣,2009,12,崙背,17.75
高雄市,2009,12,復興,20.37
新竹縣,2009,12,湖口,16.52
臺南市,2009,12,善化,18.26
新北市,2009,12,菜寮,17.55
臺北市,2009,12,陽明,12.15
新竹市,2009,12,新竹,17.49
新北市,2009,12,新店,16.99
新北市,2009,12,新莊,16.6
嘉義縣,2009,12,新港,17.33
臺南市,2009,12,新營,18.73
高雄市,2009,12,楠梓,18.8
新北市,2009,12,萬里,17.14
臺北市,2009,12,萬華,17.08
嘉義市,2009,12,嘉義,18.46
彰化縣,2009,12,彰化,17.16
雲林縣,2009,12,臺西,18.1
臺東縣,2009,12,臺東,20.07
臺南市,2009,12,臺南,18.97
高雄市,2009,12,鳳山,19.9
屏東縣,2009,12,潮州,20.25
彰化縣,2009,12,線西,17.68
高雄市,2009,12,橋頭,19.26
苗栗縣,2009,12,頭份,16.77
桃園市,2009,12,龍潭,15.19
臺中市,2009,12,豐原,16.93
臺東縣,2009,12,關山,18.25
桃園市,2009,12,觀音,17.09
彰化縣,2010,1,二林,16.98
新北市,2010,1,三重,16.95
苗栗縣,2010,1,三義,13.97
新北市,2010,1,土城,17.22
臺北市,2010,1,士林,17.13
臺中市,2010,1,大里,17.68
桃園市,2010,1,大園,17.12
高雄市,2010,1,大寮,20.01
高雄市,2010,1,小港,20.08
臺北市,2010,1,中山,17.62
桃園市,2010,1,中壢,15.93
高雄市,2010,1,仁武,19.82
雲林縣,2010,1,斗六,17.89
宜蘭縣,2010,1,冬山,16.69
臺北市,2010,1,古亭,17.22
桃園市,2010,1,平鎮,16.18
新北市,2010,1,永和,17.37
臺南市,2010,1,安南,17.48
嘉義縣,2010,1,朴子,18.03
新北市,2010,1,汐止,17
南投縣,2010,1,竹山,16.77
新竹縣,2010,1,竹東,16.26
臺中市,2010,1,西屯,17.22
臺中市,2010,1,沙鹿,16.37
宜蘭縣,2010,1,宜蘭,16.61
臺中市,2010,1,忠明,17.65
新北市,2010,1,林口,15.48
高雄市,2010,1,林園,20.55
新北市,2010,1,板橋,17.2
臺北市,2010,1,松山,17.21
花蓮縣,2010,1,花蓮,18.89
高雄市,2010,1,前金,18.97
高雄市,2010,1,前鎮,20.5
南投縣,2010,1,南投,17.34
屏東縣,2010,1,屏東,20.22
屏東縣,2010,1,恆春,21.26
高雄市,2010,1,美濃,19.47
苗栗縣,2010,1,苗栗,16.16
南投縣,2010,1,埔里,17.32
桃園市,2010,1,桃園,16.43
基隆市,2010,1,基隆,16.64
雲林縣,2010,1,崙背,17.25
高雄市,2010,1,復興,19.91
新竹縣,2010,1,湖口,15.72
臺南市,2010,1,善化,17.88
新北市,2010,1,菜寮,17.32
臺北市,2010,1,陽明,12.21
新竹市,2010,1,新竹,16.79
新北市,2010,1,新店,16.91
新北市,2010,1,新莊,16.52
嘉義縣,2010,1,新港,16.77
臺南市,2010,1,新營,18.34
高雄市,2010,1,楠梓,18.41
新北市,2010,1,萬里,16.51
臺北市,2010,1,萬華,16.79
嘉義市,2010,1,嘉義,17.98
彰化縣,2010,1,彰化,16.49
雲林縣,2010,1,臺西,17.3
臺東縣,2010,1,臺東,20.17
臺南市,2010,1,臺南,18.53
高雄市,2010,1,鳳山,19.68
屏東縣,2010,1,潮州,20.08
彰化縣,2010,1,線西,16.89
高雄市,2010,1,橋頭,18.83
苗栗縣,2010,1,頭份,16.19
桃園市,2010,1,龍潭,14.91
臺中市,2010,1,豐原,16.44
臺東縣,2010,1,關山,18.21
桃園市,2010,1,觀音,16.14
彰化縣,2010,2,二林,18.59
新北市,2010,2,三重,17.55
苗栗縣,2010,2,三義,15.52
新北市,2010,2,土城,17.9
臺北市,2010,2,士林,17.59
臺中市,2010,2,大里,19.19
桃園市,2010,2,大園,17.8
高雄市,2010,2,大寮,21.67
高雄市,2010,2,小港,21.79
臺北市,2010,2,中山,18.32
桃園市,2010,2,中壢,16.66
高雄市,2010,2,仁武,21.54
雲林縣,2010,2,斗六,19.41
宜蘭縣,2010,2,冬山,18.27
臺北市,2010,2,古亭,17.94
高雄市,2010,2,左營,21
桃園市,2010,2,平鎮,16.66
新北市,2010,2,永和,18.18
臺南市,2010,2,安南,19.82
嘉義縣,2010,2,朴子,19.8
新北市,2010,2,汐止,17.95
南投縣,2010,2,竹山,18.15
新竹縣,2010,2,竹東,17.24
臺中市,2010,2,西屯,18.45
臺中市,2010,2,沙鹿,18.02
宜蘭縣,2010,2,宜蘭,18.35
臺中市,2010,2,忠明,18.95
新北市,2010,2,林口,16.02
高雄市,2010,2,林園,22.35
新北市,2010,2,板橋,17.87
臺北市,2010,2,松山,18.69
花蓮縣,2010,2,花蓮,20.53
高雄市,2010,2,前金,20.71
高雄市,2010,2,前鎮,22.14
南投縣,2010,2,南投,18.74
屏東縣,2010,2,屏東,22.05
屏東縣,2010,2,恆春,23.2
高雄市,2010,2,美濃,21.06
苗栗縣,2010,2,苗栗,17.32
南投縣,2010,2,埔里,18.67
桃園市,2010,2,桃園,17.25
基隆市,2010,2,基隆,17.26
雲林縣,2010,2,崙背,19.07
高雄市,2010,2,復興,21.6
新竹縣,2010,2,湖口,16.48
臺南市,2010,2,善化,19.71
新北市,2010,2,菜寮,17.71
臺北市,2010,2,陽明,11.72
新竹市,2010,2,新竹,17.45
新北市,2010,2,新店,17.58
新北市,2010,2,新莊,17.01
嘉義縣,2010,2,新港,18.62
臺南市,2010,2,新營,20.16
高雄市,2010,2,楠梓,20.37
新北市,2010,2,萬里,17.05
臺北市,2010,2,萬華,17.85
嘉義市,2010,2,嘉義,19.65
彰化縣,2010,2,彰化,17.95
雲林縣,2010,2,臺西,18.82
臺東縣,2010,2,臺東,22.14
臺南市,2010,2,臺南,20.32
高雄市,2010,2,鳳山,21.21
屏東縣,2010,2,潮州,21.93
彰化縣,2010,2,線西,18.23
高雄市,2010,2,橋頭,20.61
苗栗縣,2010,2,頭份,17.08
桃園市,2010,2,龍潭,16.16
臺中市,2010,2,豐原,17.86
臺東縣,2010,2,關山,20.31
桃園市,2010,2,觀音,16.71
彰化縣,2010,3,二林,21.15
新北市,2010,3,三重,19.89
苗栗縣,2010,3,三義,17.76
新北市,2010,3,土城,20.36
臺北市,2010,3,士林,19.87
臺中市,2010,3,大里,22.01
桃園市,2010,3,大園,18.79
高雄市,2010,3,大寮,23.66
高雄市,2010,3,小港,23.84
臺北市,2010,3,中山,20.54
桃園市,2010,3,中壢,19.13
高雄市,2010,3,仁武,23.86
雲林縣,2010,3,斗六,22.12
宜蘭縣,2010,3,冬山,19.9
臺北市,2010,3,古亭,20.21
高雄市,2010,3,左營,23.26
桃園市,2010,3,平鎮,19.06
新北市,2010,3,永和,20.44
臺南市,2010,3,安南,22.48
嘉義縣,2010,3,朴子,22.3
新北市,2010,3,汐止,19.71
南投縣,2010,3,竹山,20.82
新竹縣,2010,3,竹東,19.23
臺中市,2010,3,西屯,20.86
臺中市,2010,3,沙鹿,19.7
宜蘭縣,2010,3,宜蘭,19.81
臺中市,2010,3,忠明,21.69
新北市,2010,3,林口,18.22
高雄市,2010,3,林園,23.95
新北市,2010,3,板橋,20.19
臺北市,2010,3,松山,20.39
花蓮縣,2010,3,花蓮,21.74
高雄市,2010,3,前金,23.12
高雄市,2010,3,前鎮,24.45
南投縣,2010,3,南投,21.53
屏東縣,2010,3,屏東,24.07
屏東縣,2010,3,恆春,23.86
高雄市,2010,3,美濃,23.11
苗栗縣,2010,3,苗栗,19.48
南投縣,2010,3,埔里,20.8
桃園市,2010,3,桃園,19.63
基隆市,2010,3,基隆,19.06
雲林縣,2010,3,崙背,21.25
高雄市,2010,3,復興,23.88
新竹縣,2010,3,湖口,18.79
臺南市,2010,3,善化,22.02
新北市,2010,3,菜寮,20.08
臺北市,2010,3,陽明,12.75
新竹市,2010,3,新竹,19.68
新北市,2010,3,新店,20.02
新北市,2010,3,新莊,19.41
嘉義縣,2010,3,新港,21.18
臺南市,2010,3,新營,22.54
高雄市,2010,3,楠梓,22.82
新北市,2010,3,萬里,18.66
臺北市,2010,3,萬華,20.14
嘉義市,2010,3,嘉義,22.79
彰化縣,2010,3,彰化,20.63
雲林縣,2010,3,臺西,21.07
臺東縣,2010,3,臺東,22.69
臺南市,2010,3,臺南,22.91
高雄市,2010,3,鳳山,23.93
屏東縣,2010,3,潮州,23.64
彰化縣,2010,3,線西,20.65
高雄市,2010,3,橋頭,23.09
苗栗縣,2010,3,頭份,19.21
桃園市,2010,3,龍潭,18.63
臺中市,2010,3,豐原,20.45
臺東縣,2010,3,關山,20.97
桃園市,2010,3,觀音,18.98
彰化縣,2010,4,二林,22.03
新北市,2010,4,三重,20.99
苗栗縣,2010,4,三義,18.73
新北市,2010,4,土城,21.32
臺北市,2010,4,士林,20.85
臺中市,2010,4,大里,23.02
桃園市,2010,4,大園,19.6
高雄市,2010,4,大寮,24.95
高雄市,2010,4,小港,25.06
臺北市,2010,4,中山,21.43
桃園市,2010,4,中壢,20.21
高雄市,2010,4,仁武,25.13
雲林縣,2010,4,斗六,22.95
宜蘭縣,2010,4,冬山,20.82
臺北市,2010,4,古亭,21.02
高雄市,2010,4,左營,24.84
桃園市,2010,4,平鎮,20.21
新北市,2010,4,永和,21.31
臺南市,2010,4,安南,23.34
嘉義縣,2010,4,朴子,23.06
新北市,2010,4,汐止,20.76
南投縣,2010,4,竹山,21.58
新竹縣,2010,4,竹東,20.38
臺中市,2010,4,西屯,21.8
臺中市,2010,4,沙鹿,21.91
宜蘭縣,2010,4,宜蘭,20.77
臺中市,2010,4,忠明,22.55
新北市,2010,4,林口,19.4
高雄市,2010,4,林園,25.47
新北市,2010,4,板橋,21.13
臺北市,2010,4,松山,21.29
花蓮縣,2010,4,花蓮,22.6
高雄市,2010,4,前金,24.15
高雄市,2010,4,前鎮,25.51
南投縣,2010,4,南投,22.26
屏東縣,2010,4,屏東,25.37
屏東縣,2010,4,恆春,24.93
高雄市,2010,4,美濃,24.39
苗栗縣,2010,4,苗栗,20.73
南投縣,2010,4,埔里,21.95
桃園市,2010,4,桃園,20.52
基隆市,2010,4,基隆,20.44
雲林縣,2010,4,崙背,22.23
高雄市,2010,4,復興,24.94
新竹縣,2010,4,湖口,20.04
臺南市,2010,4,善化,23.09
新北市,2010,4,菜寮,20.98
臺北市,2010,4,陽明,13.38
新竹市,2010,4,新竹,20.95
新北市,2010,4,新店,20.96
新北市,2010,4,新莊,20.28
嘉義縣,2010,4,新港,21.98
臺南市,2010,4,新營,23.41
高雄市,2010,4,楠梓,24.02
新北市,2010,4,萬里,19.98
臺北市,2010,4,萬華,20.93
嘉義市,2010,4,嘉義,23.21
彰化縣,2010,4,彰化,21.65
雲林縣,2010,4,臺西,22
臺東縣,2010,4,臺東,23.84
臺南市,2010,4,臺南,23.88
高雄市,2010,4,鳳山,25.05
屏東縣,2010,4,潮州,25.09
彰化縣,2010,4,線西,21.65
高雄市,2010,4,橋頭,24.31
苗栗縣,2010,4,頭份,20.68
桃園市,2010,4,龍潭,19.69
臺中市,2010,4,豐原,21.51
臺東縣,2010,4,關山,22.5
桃園市,2010,4,觀音,20.26
彰化縣,2010,5,二林,26.38
新北市,2010,5,三重,25.64
苗栗縣,2010,5,三義,23.36
新北市,2010,5,土城,25.96
臺北市,2010,5,士林,25.43
臺中市,2010,5,大里,27.8
桃園市,2010,5,大園,24.45
高雄市,2010,5,大寮,27.92
高雄市,2010,5,小港,27.92
臺北市,2010,5,中山,26.13
桃園市,2010,5,中壢,24.91
高雄市,2010,5,仁武,28.66
雲林縣,2010,5,斗六,27.35
宜蘭縣,2010,5,冬山,25.15
臺北市,2010,5,古亭,25.72
高雄市,2010,5,左營,28.76
桃園市,2010,5,平鎮,24.86
新北市,2010,5,永和,26.07
臺南市,2010,5,安南,27.5
嘉義縣,2010,5,朴子,27.12
新北市,2010,5,汐止,25.31
南投縣,2010,5,竹山,25.81
新竹縣,2010,5,竹東,24.76
臺中市,2010,5,西屯,25.83
臺中市,2010,5,沙鹿,26.11
宜蘭縣,2010,5,宜蘭,25.1
臺中市,2010,5,忠明,27.17
新北市,2010,5,林口,23.93
高雄市,2010,5,林園,28.18
新北市,2010,5,板橋,25.93
臺北市,2010,5,松山,25.74
花蓮縣,2010,5,花蓮,26.09
高雄市,2010,5,前金,27.25
高雄市,2010,5,前鎮,28.59
南投縣,2010,5,南投,26.79
屏東縣,2010,5,屏東,28.47
屏東縣,2010,5,恆春,27.35
高雄市,2010,5,美濃,27.71
苗栗縣,2010,5,苗栗,25.41
南投縣,2010,5,埔里,25.49
桃園市,2010,5,桃園,25.22
基隆市,2010,5,基隆,24.77
雲林縣,2010,5,崙背,26.26
高雄市,2010,5,復興,27.88
新竹縣,2010,5,湖口,24.78
臺南市,2010,5,善化,26.9
新北市,2010,5,菜寮,25.89
臺北市,2010,5,陽明,18
新竹市,2010,5,新竹,25.51
新北市,2010,5,新店,25.58
新北市,2010,5,新莊,25.08
嘉義縣,2010,5,新港,26.34
臺南市,2010,5,新營,27.35
高雄市,2010,5,楠梓,27.36
新北市,2010,5,萬里,23.98
臺北市,2010,5,萬華,25.72
嘉義市,2010,5,嘉義,27.43
彰化縣,2010,5,彰化,26.25
雲林縣,2010,5,臺西,26.1
臺東縣,2010,5,臺東,26.9
臺南市,2010,5,臺南,27.65
高雄市,2010,5,鳳山,28.42
屏東縣,2010,5,潮州,28.08
彰化縣,2010,5,線西,25.61
高雄市,2010,5,橋頭,27.71
苗栗縣,2010,5,頭份,25.4
桃園市,2010,5,龍潭,24.27
臺中市,2010,5,豐原,26.01
臺東縣,2010,5,關山,25.88
桃園市,2010,5,觀音,24.82
彰化縣,2011,1,二林,14.82
新北市,2011,1,三重,13.93
苗栗縣,2011,1,三義,10.86
新北市,2011,1,土城,14.12
臺北市,2011,1,士林,14.31
臺中市,2011,1,大里,13.78
桃園市,2011,1,大園,14.56
高雄市,2011,1,大寮,16.8
高雄市,2011,1,小港,17.42
臺北市,2011,1,中山,14.13
桃園市,2011,1,中壢,12.73
高雄市,2011,1,仁武,16.46
雲林縣,2011,1,斗六,15.54
宜蘭縣,2011,1,冬山,14.02
臺北市,2011,1,古亭,13.94
高雄市,2011,1,左營,16.69
桃園市,2011,1,平鎮,13.02
新北市,2011,1,永和,13.92
臺南市,2011,1,安南,15.25
嘉義縣,2011,1,朴子,15.58
新北市,2011,1,汐止,13.64
南投縣,2011,1,竹山,14.19
新竹縣,2011,1,竹東,13.82
臺中市,2011,1,西屯,15.01
臺中市,2011,1,沙鹿,13.82
宜蘭縣,2011,1,宜蘭,13.93
臺中市,2011,1,忠明,14.47
新北市,2011,1,林口,11.99
高雄市,2011,1,林園,18.04
新北市,2011,1,板橋,14.38
臺北市,2011,1,松山,13.66
花蓮縣,2011,1,花蓮,16.95
高雄市,2011,1,前金,17.11
高雄市,2011,1,前鎮,17.83
南投縣,2011,1,南投,14.75
屏東縣,2011,1,屏東,17.62
屏東縣,2011,1,恆春,18.89
高雄市,2011,1,美濃,16.32
苗栗縣,2011,1,苗栗,13.62
南投縣,2011,1,埔里,15.45
桃園市,2011,1,桃園,12.92
基隆市,2011,1,基隆,14.04
雲林縣,2011,1,崙背,14.98
高雄市,2011,1,復興,17.17
新竹縣,2011,1,湖口,13.11
臺南市,2011,1,善化,16.89
新北市,2011,1,菜寮,14.51
臺北市,2011,1,陽明,7.43
新竹市,2011,1,新竹,13.71
新北市,2011,1,新店,13.73
新北市,2011,1,新莊,14.47
嘉義縣,2011,1,新港,14.46
臺南市,2011,1,新營,15.78
高雄市,2011,1,楠梓,15.99
新北市,2011,1,萬里,14.5
臺北市,2011,1,萬華,13.93
嘉義市,2011,1,嘉義,15.41
彰化縣,2011,1,彰化,14.02
雲林縣,2011,1,臺西,15.27
臺東縣,2011,1,臺東,18.12
臺南市,2011,1,臺南,15.93
高雄市,2011,1,鳳山,17.03
屏東縣,2011,1,潮州,17.8
彰化縣,2011,1,線西,14.29
高雄市,2011,1,橋頭,16.47
苗栗縣,2011,1,頭份,13.6
桃園市,2011,1,龍潭,12.49
臺中市,2011,1,豐原,13.15
臺東縣,2011,1,關山,15.24
桃園市,2011,1,觀音,14.84
彰化縣,2011,2,二林,16.6
新北市,2011,2,三重,16.68
苗栗縣,2011,2,三義,13.77
新北市,2011,2,土城,17.02
臺北市,2011,2,士林,16.8
臺中市,2011,2,大里,16.35
